Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	09/08/2013 	_x86_64_	(2 CPU)

04:54:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:54:17 AM  all   25.09    0.00   22.51    0.00    0.00    0.00    0.00    0.00   52.40
04:54:18 AM  all   20.09    0.00   14.10    0.00    0.00    0.00   19.23    0.00   46.58
04:54:19 AM  all    8.29    0.00   36.79    0.00    0.00    0.00   41.97    0.00   12.95
04:54:20 AM  all   19.22    0.00   26.67    0.00    0.00    0.00   23.92    0.00   30.20
04:54:21 AM  all   23.75    0.00   27.08    0.00    0.00    0.00   13.75    0.00   35.42
04:54:22 AM  all   14.74    0.00   33.47    0.00    0.00    0.00   23.90    0.00   27.89
04:54:23 AM  all   11.72    0.00   26.37    0.00    0.00    0.37   17.95    0.00   43.59
04:54:24 AM  all    0.00    0.00    0.76    0.00    0.00    0.00    0.00    0.00   99.24
04:54:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:26 AM  all    0.00    0.00    0.00    0.50    0.00    0.25    0.00    0.00   99.25
04:54:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
04:54:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:31 AM  all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
04:54:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:43 AM  all    2.07    0.00    1.55    0.00    0.00    0.00    0.00    0.00   96.37
04:54:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:46 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
04:54:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:50 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:54:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:52 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:54:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:55 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.50
04:54:56 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
04:54:57 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:54:58 AM  all    4.85    0.00    2.43    0.00    0.00    0.00    0.00    0.00   92.72
04:54:59 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:00 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:55:01 AM  all    0.00    0.00    0.51    0.25    0.00    0.00    0.00    0.00   99.24
04:55:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:06 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:09 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:10 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:11 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:12 AM  all    4.58    0.00    2.70    0.00    0.00    0.00    0.00    0.00   92.72
04:55:13 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:14 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:15 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:16 AM  all    0.00    0.00    0.25    0.50    0.00    0.00    0.00    0.00   99.25
04:55:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:18 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:19 AM  all    0.00    0.00    0.50    0.00    0.00    0.25    0.25    0.00   99.00
04:55:20 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:21 AM  all    0.25    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.25
04:55:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
