Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

12:28:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:28:16 AM  all   24.35    0.00   22.51    0.00    0.00    0.00    0.37    0.00   52.77
12:28:17 AM  all    3.51    0.00    7.89    0.00    0.00    0.00   78.95    0.00    9.65
12:28:18 AM  all   19.09    0.00   12.27    0.00    0.00    0.45   30.91    0.00   37.27
12:28:19 AM  all    7.04    0.00   25.93    0.00    0.00    0.00   18.52    0.00   48.52
12:28:20 AM  all    0.25    0.00    0.25    0.50    0.00    0.00    0.25    0.00   98.74
12:28:21 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:23 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:24 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:28:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:26 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
12:28:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:39 AM  all    1.81    0.00    1.29    0.00    0.00    0.00    0.00    0.00   96.90
12:28:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:41 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:28:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:44 AM  all    3.15    0.00    1.31    0.00    0.00    0.00    0.00    0.00   95.54
12:28:45 AM  all    1.53    0.00    0.26    0.00    0.00    0.00    0.00    0.00   98.21
12:28:46 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
12:28:47 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.25    0.00   99.50
12:28:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:50 AM  all    4.28    0.00    2.41    0.00    0.00    0.00    0.00    0.00   93.32
12:28:51 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
12:28:52 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:28:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:54 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:28:55 AM  all    4.02    0.00    2.41    0.00    0.00    0.00    0.00    0.00   93.57
12:28:56 AM  all    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
12:28:57 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:28:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:28:59 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:00 AM  all    4.28    0.00    2.14    0.00    0.00    0.00    0.00    0.00   93.58
12:29:01 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
12:29:02 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:29:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:05 AM  all    2.62    0.00    2.36    0.00    0.00    0.00    0.00    0.00   95.01
12:29:06 AM  all    1.02    0.00    0.51    0.26    0.00    0.00    0.00    0.00   98.21
12:29:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:08 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
12:29:09 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:10 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:29:11 AM  all    4.27    0.00    2.40    0.27    0.00    0.00    0.00    0.00   93.07
