Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

01:12:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:13:00 AM  all   24.26    0.00   21.32    0.00    0.00    0.00    0.00    0.00   54.41
01:13:01 AM  all   20.77    0.00   23.08    0.00    0.00    0.77   14.23    0.00   41.15
01:13:02 AM  all    1.59    0.00    6.35    0.00    0.00    0.00    5.56    0.00   86.51
01:13:03 AM  all    1.76    0.00    5.59    0.00    0.00    0.00    5.00    0.00   87.65
01:13:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:05 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
01:13:06 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:09 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:10 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
01:13:11 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:12 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:13 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:14 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:15 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
01:13:16 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:18 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:19 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:20 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:13:21 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:23 AM  all    2.33    0.00    1.04    0.00    0.00    0.00    0.00    0.00   96.63
01:13:24 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:25 AM  all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
01:13:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:28 AM  all    3.48    0.00    2.67    0.00    0.00    0.00    0.00    0.00   93.85
01:13:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
01:13:30 AM  all    0.25    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.25
01:13:31 AM  all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
01:13:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:33 AM  all    2.60    0.00    1.56    0.00    0.00    0.00    0.00    0.00   95.84
01:13:34 AM  all    1.80    0.00    0.26    0.00    0.00    0.00    0.00    0.00   97.94
01:13:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:36 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:13:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:39 AM  all    5.08    0.00    1.87    0.00    0.00    0.00    0.00    0.00   93.05
01:13:40 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
01:13:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
