Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

02:07:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
02:07:26 AM  all   26.01    0.00   20.88    0.00    0.00    0.00    0.37    0.00   52.75
02:07:27 AM  all   19.92    0.00   20.33    0.00    0.00    0.00   21.54    0.00   38.21
02:07:28 AM  all    4.58    0.00   16.34    0.00    0.00    0.00   11.11    0.00   67.97
02:07:29 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:07:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
02:07:31 AM  all    0.00    0.00    0.00    0.75    0.00    0.00    0.00    0.00   99.25
02:07:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:34 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:07:35 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:07:36 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
02:07:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:40 AM  all    0.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00   99.50
02:07:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
02:07:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:45 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
02:07:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:48 AM  all    2.33    0.00    1.55    0.00    0.00    0.00    0.00    0.00   96.12
02:07:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:50 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:07:51 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
02:07:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:53 AM  all    4.28    0.00    2.41    0.00    0.00    0.00    0.00    0.00   93.32
02:07:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:07:55 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
